away_team,away_team_errors,away_team_hits,away_team_runs,date,game_duration,game_type,home_team,home_team_errors,home_team_hits,home_team_runs,start_time,venue,attendance
New York Mets,1,7,3,6,200.79999999999998,"Night Game, on grass",Kansas City Royals,0,9,4,19, Kauffman Stadium,40030
Philadelphia Phillies,0,5,2,2,156.8,"Night Game, on grass",Cincinnati Reds,0,8,3,19, Great American Ball Park,21621
Minnesota Twins,0,5,2,2,197.6,"Night Game, on grass",Baltimore Orioles,0,9,4,19, Oriole Park at Camden Yards,12622
Washington Nationals,0,8,3,2,204.79999999999998,"Night Game, on grass",Atlanta Braves,1,8,1,19, Turner Field,18531
Colorado Rockies,1,8,4,2,182.4,"Day Game, on grass",Arizona Diamondbacks,0,8,3,12, Chase Field,18572
Seattle Mariners,1,11,10,1,228.0,"Night Game, on grass",Texas Rangers,1,7,2,19, Globe Life Park in Arlington,28386
Toronto Blue Jays,0,9,2,1,191.2,"Night Game, on turf",Tampa Bay Rays,1,7,3,19, Tropicana Field,12757
Los Angeles Dodgers,0,6,3,1,177.6,"Night Game, on grass",San Diego Padres,1,2,0,19, Petco Park,28329
St. Louis Cardinals,1,8,5,1,223.2,"Night Game, on grass",Pittsburgh Pirates,2,12,6,19, PNC Park,26049
Chicago White Sox,0,11,5,1,224.79999999999998,"Night Game, on grass",Oakland Athletics,0,10,4,19, Oakland-Alameda County Coliseum,10478
Houston Astros,0,6,5,1,207.2,"Day Game, on grass",New York Yankees,1,4,3,13, Yankee Stadium III,47820
San Francisco Giants,0,7,2,1,166.4,"Night Game, on grass",Milwaukee Brewers,0,6,1,19, Miller Park,24123
Detroit Tigers,1,12,8,1,255.20000000000002,"Night Game, on grass",Miami Marlins,2,10,7,19, Marlins Park,36911
Texas Rangers,0,14,7,0,180.0,"Night Game, on grass",Seattle Mariners,0,7,3,19, Safeco Field,13468
San Diego Padres,0,6,4,0,201.6,"Day Game, on grass",Philadelphia Phillies,0,8,3,15, Citizens Bank Park,45229
Los Angeles Angels of Anaheim,0,9,4,0,188.0,"Night Game, on grass",Oakland Athletics,0,10,1,19, Oakland-Alameda County Coliseum,13371
Miami Marlins,1,15,10,0,252.0,"Night Game, on grass",New York Mets,0,7,3,19, Citi Field,24318
Chicago White Sox,0,9,4,0,188.0,"Day Game, on grass",Minnesota Twins,1,6,1,15, Target Field,40638
Kansas City Royals,0,11,2,0,214.39999999999998,"Night Game, on grass",Houston Astros,0,14,8,19, Minute Maid Park,43332
Pittsburgh Pirates,1,17,7,0,207.2,"Day Game, on grass",Detroit Tigers,0,6,4,13, Comerica Park,26271
Cincinnati Reds,1,7,3,0,184.79999999999998,"Night Game, on grass",Chicago Cubs,0,3,5,19, Wrigley Field,40882
Kansas City Royals,0,13,6,3,185.60000000000002,"Night Game, on grass",Houston Astros,0,5,2,19, Minute Maid Park,21203
San Francisco Giants,1,9,6,3,221.6,"Day Game, on grass",Colorado Rockies,3,13,11,13, Coors Field,21226
Cincinnati Reds,2,6,1,3,191.2,"Night Game, on grass",Chicago Cubs,0,11,8,19, Wrigley Field,34898
Atlanta Braves,0,5,0,2,139.2,"Night Game, on grass",Washington Nationals,0,4,3,19, Nationals Park,19400
New York Yankees,1,8,2,2,188.8,"Night Game, on turf",Toronto Blue Jays,0,10,7,19, Rogers Centre,27938
Toronto Blue Jays,0,8,4,1,200.0,"Night Game, on grass",Baltimore Orioles,1,7,3,19, Oriole Park at Camden Yards,16783
Los Angeles Dodgers,3,5,1,1,211.2,"Night Game, on grass",Atlanta Braves,0,10,8,19, Turner Field,14160
Chicago Cubs,0,9,5,0,171.2,"Night Game, on grass",St. Louis Cardinals,1,5,0,19, Busch Stadium III,45432
Arizona Diamondbacks,0,16,9,0,296.0,"Night Game, on grass",San Francisco Giants,0,13,7,19, AT&T Park,41432
New York Mets,0,10,5,0,201.6,"Night Game, on grass",Philadelphia Phillies,0,7,2,19, Citizens Bank Park,21585
Milwaukee Brewers,1,6,4,0,153.6,"Night Game, on grass",Minnesota Twins,1,14,7,19, Target Field,21078
Washington Nationals,1,6,1,0,188.8,"Night Game, on grass",Miami Marlins,0,10,6,19, Marlins Park,16112
Colorado Rockies,1,7,5,0,185.60000000000002,"Night Game, on grass",Cincinnati Reds,0,4,1,19, Great American Ball Park,12777
